[dispatch] WELCOME  -> no handler
[dispatch] msz 30 30  -> handled
[dispatch] sgt 100  -> handled
[dispatch] bct 0 0 1 0 0 0 0 0 0  -> handled
[dispatch] bct 0 1 0 0 0 0 0 0 0  -> handled
[dispatch] bct 0 2 0 2 0 0 2 0 0  -> handled
[dispatch] bct 0 3 0 0 0 0 1 0 0  -> handled
[dispatch] bct 0 4 0 0 0 0 0 0 0  -> handled
[dispatch] bct 0 5 0 0 0 0 0 0 0  -> handled
[dispatch] bct 0 6 0 0 1 0 0 0 0  -> handled
[dispatch] bct 0 7 0 2 1 0 0 1 0  -> handled
[dispatch] bct 0 8 0 0 0 1 0 0 0  -> handled
[dispatch] bct 0 9 0 0 0 0 2 0 0  -> handled
[dispatch] bct 0 10 0 0 0 0 0 0 0  -> handled
[dispatch] bct 0 11 0 0 0 1 0 0 0  -> handled
[dispatch] bct 0 12 0 0 0 0 0 0 0  -> handled
[dispatch] bct 0 13 0 1 1 0 0 0 0  -> handled
[dispatch] bct 0 14 0 0 0 0 0 0 0  -> handled
[dispatch] bct 0 15 0 1 0 0 0 0 0  -> handled
[dispatch] bct 0 16 0 0 0 1 0 0 0  -> handled
[dispatch] bct 0 17 0 0 1 0 0 0 0  -> handled
[dispatch] bct 0 18 1 0 0 0 0 0 0  -> handled
[dispatch] bct 0 19 0 0 0 0 0 1 1  -> handled
[dispatch] bct 0 20 0 0 0 0 0 0 0  -> handled
[dispatch] bct 0 21 2 0 0 0 0 0 0  -> handled
[dispatch] bct 0 22 1 0 0 1 0 0 0  -> handled
[dispatch] bct 0 23 0 0 1 0 0 0 0  -> handled
[dispatch] bct 0 24 1 0 0 0 0 0 0  -> handled
[dispatch] bct 0 25 1 0 0 1 1 0 0  -> handled
[dispatch] bct 0 26 0 0 1 0 2 0 0  -> handled
[dispatch] bct 0 27 0 0 0 0 0 0 0  -> handled
[dispatch] bct 0 28 0 0 1 0 0 0 0  -> handled
[dispatch] bct 0 29 2 1 0 0 1 0 0  -> handled
[dispatch] bct 1 0 1 0 1 0 0 0 0  -> handled
[dispatch] bct 1 1 0 1 0 0 0 0 0  -> handled
[dispatch] bct 1 2 1 0 0 0 0 0 0  -> handled
[dispatch] bct 1 3 1 2 0 1 0 0 0  -> handled
[dispatch] bct 1 4 0 0 0 0 0 0 0  -> handled
[dispatch] bct 1 5 0 1 0 0 0 0 0  -> handled
[dispatch] bct 1 6 1 1 1 0 0 0 0  -> handled
[dispatch] bct 1 7 0 0 0 0 0 1 0  -> handled
[dispatch] bct 1 8 0 1 0 0 0 0 0  -> handled
[dispatch] bct 1 9 0 0 0 1 0 0 0  -> handled
[dispatch] bct 1 10 2 1 0 0 0 0 0  -> handled
[dispatch] bct 1 11 0 0 0 0 0 0 0  -> handled
[dispatch] bct 1 12 0 0 0 0 0 0 0  -> handled
[dispatch] bct 1 13 0 0 0 0 0 0 0  -> handled
[dispatch] bct 1 14 0 1 0 0 1 0 0  -> handled
[dispatch] bct 1 15 0 0 1 0 0 0 0  -> handled
[dispatch] bct 1 16 0 0 0 0 0 0 1  -> handled
[dispatch] bct 1 17 0 1 2 0 0 0 0  -> handled
[dispatch] bct 1 18 1 1 0 0 0 0 0  -> handled
[dispatch] bct 1 19 1 0 0 0 0 0 0  -> handled
[dispatch] bct 1 20 0 0 1 0 0 0 0  -> handled
[dispatch] bct 1 21 1 0 0 0 0 0 0  -> handled
[dispatch] bct 1 22 0 1 0 0 1 0 0  -> handled
[dispatch] bct 1 23 1 1 1 0 0 0 0  -> handled
[dispatch] bct 1 24 0 0 0 1 0 1 0  -> handled
[dispatch] bct 1 25 1 0 0 0 0 0 0  -> handled
[dispatch] bct 1 26 1 1 0 0 0 0 0  -> handled
[dispatch] bct 1 27 0 1 0 0 0 0 0  -> handled
[dispatch] bct 1 28 1 0 0 0 0 0 0  -> handled
[dispatch] bct 1 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 0 0 1 0 0 0 0 0  -> handled
[dispatch] bct 2 1 2 0 0 0 0 0 0  -> handled
[dispatch] bct 2 2 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 3 2 0 0 0 0 0 0  -> handled
[dispatch] bct 2 4 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 5 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 6 0 0 1 0 0 0 0  -> handled
[dispatch] bct 2 7 1 1 0 0 0 0 0  -> handled
[dispatch] bct 2 8 0 0 0 1 0 0 0  -> handled
[dispatch] bct 2 9 1 0 0 0 0 0 0  -> handled
[dispatch] bct 2 10 0 1 0 0 0 0 0  -> handled
[dispatch] bct 2 11 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 12 1 1 0 0 0 0 0  -> handled
[dispatch] bct 2 13 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 14 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 15 1 0 0 0 0 0 0  -> handled
[dispatch] bct 2 16 0 0 2 0 0 0 0  -> handled
[dispatch] bct 2 17 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 18 0 0 0 1 2 0 0  -> handled
[dispatch] bct 2 19 0 1 1 0 0 0 0  -> handled
[dispatch] bct 2 20 2 0 0 0 0 0 0  -> handled
[dispatch] bct 2 21 2 0 0 0 0 0 0  -> handled
[dispatch] bct 2 22 1 2 0 0 0 0 0  -> handled
[dispatch] bct 2 23 1 0 0 0 1 0 1  -> handled
[dispatch] bct 2 24 2 0 0 0 0 0 0  -> handled
[dispatch] bct 2 25 0 0 0 0 0 0 0  -> handled
[dispatch] bct 2 26 1 0 0 0 0 0 0  -> handled
[dispatch] bct 2 27 1 0 0 0 0 0 0  -> handled
[dispatch] bct 2 28 1 0 1 0 0 0 0  -> handled
[dispatch] bct 2 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 0 0 1 0 0 0 0 0  -> handled
[dispatch] bct 3 1 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 2 0 0 0 0 0 1 0  -> handled
[dispatch] bct 3 3 3 1 0 0 0 0 1  -> handled
[dispatch] bct 3 4 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 5 1 0 0 0 0 0 0  -> handled
[dispatch] bct 3 6 0 1 0 1 0 0 0  -> handled
[dispatch] bct 3 7 1 0 0 1 0 0 0  -> handled
[dispatch] bct 3 8 0 0 0 0 0 0 0  -> handled
[dispatch] bct 3 9 1 0 0 0 0 0 0  -> handled
[dispatch] bct 3 10 1 0 1 0 0 0 0  -> handled
